ลำดับ,รายการ,หมายเลขครุภัณฑ์,หมายเลขสินทรัพย์ตามระบบ GFMIS,วันที่ได้มา,จำนวน,สภาพครุภัณฑ์,หมายเหตุ,ประเภท,สถาน
1,โต๊ะทำงาน ระดับ  7-8 ,71110-007-4-015,-,06-ส.ค.-33,1,ใช้ได้,ห้องเจนพิธีกร,โต๊ะ,ห้องเจนพิธีกร
2,โต๊ะทำงาน ระดับ  7-8 ,71110-007-4-017,-,06-ส.ค.-33,1,ใช้ได้,พี่อุ๊,โต๊ะ,-
3,โต๊ะทำงาน ระดับ  7-8 ,ไม่มีหมายเลข,-,06-ส.ค.-33,1,ใช้ได้,หัวหน้าโจ,โต๊ะ,-
4,โต๊ะทำงาน ระดับ  3-6,ต.8/28/181,-,11-ก.พ.-29,1,ใช้ได้,สทส.ยืม มท 0607/48 ลว 22 ก.ค. 37,โต๊ะ,-
5,โต๊ะทำงาน ระดับ  3-6,ต.8/28/182,-,11-ก.พ.-29,1,ใช้ได้,พี่เพ็ญ,โต๊ะ,-
6,โต๊ะทำงาน ระดับ  3-6,ต.8/28/183,-,11-ก.พ.-29,1,ใช้ได้,สนญ.ยืมตามบันทึก ลว 19 ก.พ. 39,โต๊ะ,-
7,โต๊ะทำงาน ระดับ  3-6,7110-007-3-077,-,30-ส.ค.-30,1,ใช้ได้,พี่ย๊ะ,โต๊ะ,-
8,โต๊ะทำงาน ระดับ  3-6,7110-007-3-082,-,30-ส.ค.-30,1,ใช้ได้,สนง.สาขาปากเกร็ด ยืม   นบ.0020.7/225 ลว.25 มี.ค.37,โต๊ะ,-
9,โต๊ะทำงาน ระดับ  3-6,7110-007-3-083,-,30-ส.ค.-30,1,ใช้ได้,สทส. ยืม มท 0607/48 ลว.22 ส.ค.37,โต๊ะ,-
10,โต๊ะทำงาน ระดับ  3-6,7110-007-3-076,-,30-ส.ค.-30,1,ใช้ได้,โต๊ะแท๊บ,โต๊ะ,-
11,โต๊ะทำงาน ระดับ  3-6,7110-007-3-084,-,30-ส.ค.-30,1,ใช้ได้,หัวหน้าโจ,โต๊ะ,-
12,โต๊ะทำงาน ระดับ  3-6,7110-007-3-086,-,30-ส.ค.-30,1,ใช้ได้,พี่พล,โต๊ะ,-
13,โต๊ะทำงาน ระดับ  3-6,7110-007-3-089,-,30-ส.ค.-30,1,ใช้ได้,พี่จอม,โต๊ะ,-
14,โต๊ะทำงาน ระดับ  3-6,7110-007-3-091,-,30-ส.ค.-30,1,ใช้ได้,โต๊ะสายัณห์,โต๊ะ,-
15,โต๊ะทำงาน ระดับ  3-6,7110-007-3-092,-,30-ส.ค.-30,1,ใช้ได้,สทส. ยืม มท 0706/542  ลว. 22 ส.ค. 33,โต๊ะ,-
16,โต๊ะทำงาน ระดับ  3-6,7110-007-3-094,-,30-ส.ค.-30,1,ใช้ได้,พี่เหมียว,โต๊ะ,-
17,โต๊ะทำงาน ระดับ  3-6,7110-007-3-095,-,30-ส.ค.-30,1,ใช้ได้,พี่แอ้,โต๊ะ,-
18,โต๊ะทำงาน ระดับ  3-6,7110-007-3-451,-,30-ส.ค.-30,1,ใช้ได้,พี่เอี้ยง,โต๊ะ,-
19,โต๊ะทำงาน ระดับ  3-6,7110-007-3-455,-,30-ส.ค.-30,1,ใช้ได้,สทส. ยืม มท 0706/48 ลว 22 ส.ค. 37,โต๊ะ,-
20,โต๊ะทำงาน ระดับ  3-6,7110-007-3-582,-,30-ส.ค.-30,1,ใช้ได้,พี่นิวัฒน์,โต๊ะ,-
21,โต๊ะทำงาน ระดับ  3-6,7110-007-3-583,-,30-ส.ค.-30,1,ใช้ได้,พี่วสุ,โต๊ะ,-
22,โต๊ะทำงาน ระดับ  3-6,7110-007-3-799,-,30-ส.ค.-30,1,ใช้ได้,พี่ณรงค์สิทธิ์,โต๊ะ,-
23,โต๊ะทำงาน ระดับ  3-6,7110-007-3-592,-,30-ส.ค.-30,1,ใช้ได้,พี่ธวัชชัย,โต๊ะ,-
24,โต๊ะทำงาน ระดับ  3-6,7110-007-3-594,-,30-ส.ค.-30,1,ใช้ได้,เบล,โต๊ะ,-
25,โต๊ะทำงาน ระดับ  3-6,7110-007-3-796,-,30-ส.ค.-30,1,ใช้ได้,พี่เป็ด,โต๊ะ,-
26,โต๊ะทำงาน ระดับ  3-6,7110-007-3-797,-,30-ส.ค.-30,1,ใช้ได้,แนน,โต๊ะ,-
27,โต๊ะทำงาน ระดับ  3-6,7110-007-3-801,-,30-ส.ค.-30,1,ใช้ได้,พี่เขี้ยว,โต๊ะ,-
28,โต๊ะทำงาน ระดับ  3-6,7110-007-3-802,-,30-ส.ค.-30,1,ใช้ได้,จ๋า จิตตรานุช,โต๊ะ,-
29,โต๊ะทำงาน ระดับ  3-6,7110-007-3-803,-,๓๐-ส.ค.-๑๙๓๐,1,ใช้ได้,พี่เป้,โต๊ะ,-
30,โต๊ะทำงาน ระดับ  3-6,7110-007-3-805,-,30-ส.ค.-30,1,ใช้ได้,สทส. ยืม มท 0607/48 ลว 22 ส.ค. 37,โต๊ะ,-
31,โต๊ะทำงาน ระดับ  3-6,7110-007-3-806,-,30-ส.ค.-30,1,ใช้ได้,กิ๊ก,โต๊ะ,-
32,โต๊ะทำงาน ระดับ  3-6,7110-007-3-807,-,30-ส.ค.-30,1,ใช้ได้,ห้องอนุมัติ,โต๊ะ,-
33,โต๊ะทำงาน ระดับ  3-6,7110-007-3-809,-,30-ส.ค.-30,1,ใช้ได้,พี่จึง,โต๊ะ,-
34,โต๊ะทำงาน ระดับ  3-6,7110-007-3-817,-,30-ส.ค.-30,1,ใช้ได้,พี่เอกสิทธิ์,โต๊ะ,-
35,โต๊ะทำงาน ระดับ  3-6,7110-007-3-818,-,๓๐-ส.ค.-๑๙๓๐,1,ใช้ได้,ปูน,โต๊ะ,-
36,โต๊ะทำงาน ระดับ  3-6,7110-007-3-821,-,30-ส.ค.-30,1,ใช้ได้,พี่พงศ์,โต๊ะ,-
37,โต๊ะทำงาน ระดับ  3-6,7110-007-3-824,-,30-ส.ค.-30,1,ใช้ได้,พี่พล,โต๊ะ,-
38,โต๊ะทำงาน ระดับ  3-6,7110-007-3-957,-,30-ส.ค.-30,1,ใช้ได้,พี่หน่อย,โต๊ะ,-
39,โต๊ะทำงาน ระดับ  3-6,7110-007-3-589,-,30-ส.ค.-30,1,ใช้ได้,ญ่า,โต๊ะ,-
40,โต๊ะทำงาน ระดับ  3-6,7110-007-3586,-,30-ส.ค.-30,1,ใช้ได้,ฝากเก็บ กทผ.6,โต๊ะ,-
41,โต๊ะทำงาน ระดับ 1-2,ต.12/28/128,-,05-ก.พ.-29,1,ใช้ได้,สนง. สาขาปากเกร็ด ยืม นบ.0020.7/2251,โต๊ะ,-
42,โต๊ะทำงาน ระดับ 1-2,ต.12/28/130,-,05-ก.พ.-29,1,ใช้ได้,ห้องพี่ย๊ะ,โต๊ะ,-
43,โต๊ะทำงาน ระดับ 1-2,7110-007-2-079,-,20-ส.ค.-30,1,ใช้ได้,ปีใหม่,โต๊ะ,-
44,โต๊ะทำงาน ระดับ 1-2,7110-007-2-295,-,20-ส.ค.-30,1,ใช้ได้,ห้องพี่วอ,โต๊ะ,-
45,โต๊ะทำงาน ระดับ 1-2,7110-007-2-303,-,20-ส.ค.-30,1,ใช้ได้,สนง.สาขาปากเกร็ด ยืม นบ.0020.7/2251,โต๊ะ,-
46,โต๊ะทำงาน ระดับ 1-2,7110-007-2-315,-,20-ส.ค.-30,1,ใช้ได้,ห้องเก็บของด้านล่าง,โต๊ะ,ห้องเก็บของ
47,โต๊ะทำงาน ระดับ 1-2,7110-007-2-320,-,20-ส.ค.-30,1,ใช้ได้,สนง.สาขาปากเกร็ด ยืม นบ.0020.7/2251,โต๊ะ,-
48,โต๊ะทำงาน ระดับ 1-2,7110-007-2-326,-,20-ส.ค.-30,1,ใช้ได้,สนง.สาขาปากเกร็ด ยืม นบ.0020.7/2251,โต๊ะ,-
49,โต๊ะทำงาน ระดับ 1-2,7110-007-2-468,-,31-ก.ค.-30,1,ใช้ได้,รับมาจาก สทส. (ด้านหน้าโบ้) ที่ มท 0512.5/2384,โต๊ะ,-
50,โต๊ะทำงาน ระดับ 1-2,7110-007-2-034,-,30-ส.ค.-30,1,ใช้ได้,ห้องปฏิบัติการ 3,โต๊ะ,ห้องปฏิบัติการ 3
51,โต๊ะพิมพ์ดีด,7110-007-1-126,-,ก.ย.-31,1,ใช้ได้,หน้าห้องหน.เชา,โต๊ะ,-
52,ตู้เหล็กเก็บเอกสาร,7110-013-1-349,-,พ.ย.-30,1,ใช้ได้,ห้องพี่อุ๊,ตู้,-
53,ตู้เหล็กเก็บเอกสาร,7110-013-1-351,-,พ.ย.-30,1,ใช้ได้,ห้องครัว,ตู้,ห้องครัว
54,ตู้เหล็กเก็บเอกสาร,7110-013-1-352,-,พ.ย.-30,1,ใช้ได้,ด้านใน,ตู้,-
55,ตู้เหล็กเก็บเอกสาร,7110-013-1-354,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
56,ตู้เหล็กเก็บเอกสาร,7110-013-1-355,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,ตู้,-
57,ตู้เหล็กเก็บเอกสาร,7110-013-1-357,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของมารีย๊ะด้านใน,ตู้,-
58,ตู้เหล็กเก็บเอกสาร,7110-013-1-359,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
59,ตู้เหล็กเก็บเอกสาร,7110-013-1-36๑,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บวัสดุ,ตู้,-
60,ตู้เหล็กเก็บเอกสาร,7110-013-1-362,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของมารีย๊ะ,ตู้,-
61,ตู้เหล็กเก็บเอกสาร,7110-013-1-363,-,พ.ย.-30,1,ใช้ได้,หน้าห้องน้ำ,ตู้,-
62,ตู้เหล็กเก็บเอกสาร,7110-013-1-365,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
63,ตู้เหล็กเก็บเอกสาร,7110-013-1-366,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของมารีย๊ะด้านใน,ตู้,-
64,ตู้เหล็กเก็บเอกสาร,7110-013-1-370,-,พ.ย.-30,1,ใช้ได้,ข้างเครื่องถ่ายเอกสาร,ตู้,-
65,ตู้เหล็กเก็บเอกสาร,7110-013-1-371,-,พ.ย.-30,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
66,ตู้เหล็กเก็บเอกสาร,7110-013-1-600,-,ม.ค.-32,1,ใช้ได้,ห้องครัว,ตู้,ห้องครัว
67,ตู้เหล็กเก็บเอกสาร,7110-013-1-601,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
68,ตู้เหล็กเก็บเอกสาร,7110-013-1-602,-,ม.ค.-32,1,ใช้ได้,ห้องครัว,ตู้,ห้องครัว
69,ตู้เหล็กเก็บเอกสาร,7110-013-1-603,-,ม.ค.-32,1,ใช้ได้,หลังพี่พล,ตู้,-
70,ตู้เหล็กเก็บเอกสาร,7110-013-1-604,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
71,ตู้เหล็กเก็บเอกสาร,7110-013-1-605,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
72,ตู้เหล็กเก็บเอกสาร,7110-013-1-606,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,ตู้,-
73,ตู้เหล็กเก็บเอกสาร,7110-013-1-607,-,ม.ค.-32,1,ใช้ได้,ห้องพี่อุ๊,ตู้,-
